CCTV1-HD,rtmp://218.94.137.117:1935/iptv/cctv1hd
CCTV2-HD,rtmp://218.94.137.117:1935/iptv/cctv2hd
CCTV3-HD,rtmp://218.94.137.117:1935/iptv/cctv3hd
CCTV4-HD,rtmp://218.94.137.117:1935/iptv/cctv4hd
CCTV5-HD,rtmp://218.94.137.117:1935/iptv/cctv5hd
CCTV6-HD,rtmp://218.94.137.117:1935/iptv/cctv6hd
CCTV7-HD,rtmp://218.94.137.117:1935/iptv/cctv7hd
CCTV8-HD,rtmp://218.94.137.117:1935/iptv/cctv8hd
CCTV9-HD,rtmp://218.94.137.117:1935/iptv/cctv9hd
CCTV10-HD,rtmp://218.94.137.117:1935/iptv/cctv10hd
CCTV11,rtmp://218.94.137.117:1935/iptv/cctv11
CCTV12-HD,rtmp://218.94.137.117:1935/iptv/cctv12hd
CCTV13,rtmp://218.94.137.117:1935/iptv/cctv13
CCTV14-HD,rtmp://218.94.137.117:1935/iptv/cctv14hd
CCTV15,rtmp://218.94.137.117:1935/iptv/cctv15
CCTV17-HD,rtmp://218.94.137.117:1935/iptv/cctv17hd
CCTV5+,rtmp://218.94.137.117:1935/iptv/cctv5phd
CETV1-HD,rtmp://218.94.137.117:1935/iptv/cetv1hd
北京卫视高清,rtmp://218.94.137.117:1935/iptv/btv1hd
北京文艺高清,rtmp://218.94.137.117:1935/iptv/btv2hd
北京影视高清,rtmp://218.94.137.117:1935/iptv/btv4hd
北京新闻高清,rtmp://218.94.137.117:1935/iptv/btv9hd
北京纪实高清,rtmp://218.94.137.117:1935/iptv/btv11hd
浙江卫视高清,rtmp://218.94.137.117:1935/iptv/zjhd
江苏卫视高清,rtmp://218.94.137.117:1935/iptv/jshd
东方卫视高清,rtmp://218.94.137.117:1935/iptv/dfhd
安徽卫视高清,rtmp://218.94.137.117:1935/iptv/ahhd
黑龙江卫视高清,rtmp://218.94.137.117:1935/iptv/hljhd
辽宁卫视高清,rtmp://218.94.137.117:1935/iptv/lnhd
深圳卫视高清,rtmp://218.94.137.117:1935/iptv/szhd
天津卫视高清,rtmp://218.94.137.117:1935/iptv/tjhd
湖北卫视高清,rtmp://218.94.137.117:1935/iptv/hbhd
山东卫视高清,rtmp://218.94.137.117:1935/iptv/sdhd
重庆卫视高清,rtmp://218.94.137.117:1935/iptv/cqhd
江西卫视高清,rtmp://218.94.137.117:1935/iptv/jxhd
四川卫视高清,rtmp://218.94.137.117:1935/iptv/schd
河北卫视高清,rtmp://218.94.137.117:1935/iptv/hebhd
河南卫视高清,rtmp://218.94.137.117:1935/iptv/hnhd
上视纪实高清,rtmp://218.94.137.117:1935/iptv/docuchina
金鹰纪实高清,rtmp://218.94.137.117:1935/iptv/gedocu
足球频道高清,rtmp://218.94.137.117:1935/iptv/zqhd
卡通剧场高清,rtmp://218.94.137.117:1935/iptv/ktjchd
大众影视高清,rtmp://218.94.137.117:1935/iptv/dzyshd
家庭影院高清,rtmp://218.94.137.117:1935/iptv/jtyyhd
家庭剧场高清,rtmp://218.94.137.117:1935/iptv/jtjchd
